season,season_type,player_id,player_name,player_display_name,position,position_group,headshot_url,games,recent_team,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr
2021,REG,00-0019596,T.Brady,Tom Brady,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le",17,TB,485,719,5316,43,12,22,144,3,2,5804,2534,269,145.714883711392,0,0.91592005513439,0.139308838383282,28,81,2,1,1,14,3.85047854911179,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,374.74,374.74
2021,REG,00-0022824,A.Lee,Andy Lee,P,SPEC,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/bfozbs2h9jueavslvw3z",1,ARI,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,1,0,0,1,0,0,-2.51207417278783,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0,0
2021,REG,00-0022924,B.Roethlisberger,Ben Roethlisberger,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/vziogpnyp9d0xtpiuqhr",16,PIT,390,605,3740,22,10,38,239,11,5,4069,1932,188,-44.5825530095486,2,0.919144753010568,0.032892505155117,20,5,1,0,0,3,-1.97940342813438,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,218.1,218.1
2021,REG,00-0023459,A.Rodgers,Aaron Rodgers,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gnta8ufi2vdp967dui9e",16,GB,366,531,4115,37,4,30,188,1,0,4084,2177,213,129.766061957801,0,1.00759059745348,0.175385403583707,33,101,3,2,0,10,5.83122421469307,0,1,1,-4,0,0,0,-4,0,0,-1.24344629049301,0,0,0.032258064516129,-0.0112994350282486,0.0404774922544195,0,332.3,333.3
2021,REG,00-0023682,R.Fitzpatrick,Ryan Fitzpatrick,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/pkhhxwplsawnhln9rsun",1,WAS,3,6,13,0,0,1,2,1,0,9,6,0,-4.27462314258315,0,1.44444444444444,-0.0653271621184067,1,2,0,0,0,0,-1.19552433757689,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0.72,0.72
2021,REG,00-0024243,M.Lewis,Marcedes Lewis,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ppq07tipygpftz5csipx",13,GB,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,23,28,214,0,1,0,103,144,10,8.63060797413345,0,2.07766990291262,0.0637813211845103,0.0309588217613466,0.117343157009708,0,21.4,44.4
2021,REG,00-0024417,S.Koch,Sam Koch,P,SPEC,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/dw34lcf6qit1i1knjhpv",1,BAL,0,1,0,0,0,0,0,0,0,10,0,0,-2.7787173029501,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0,0
2021,REG,00-0025394,A.Peterson,Adrian Peterson,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ug2ua3skqc9f6vkbowxc",4,SEA,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,38,98,2,1,0,6,-9.86462577158818,0,4,4,8,0,0,0,-11,19,0,-1.27764497848693,0,-0.727272727272727,0.0384615384615385,-0.0167173252279635,0.0459901800327332,0,22.6,26.6
2021,REG,00-0026035,D.Amendola,Danny Amendola,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/etz06w7s0ardf49mnayz",8,HOU,0,1,0,0,0,0,0,0,0,14,0,0,-0.361697550688405,0,0,,0,0,0,0,0,0,,0,24,38,248,3,1,0,321,105,10,-0.118615819919291,1,0.772585669781932,0.153225806451613,0.166753246753247,0.346565982404692,0,44.8,68.8
2021,REG,00-0026143,M.Ryan,Matt Ryan,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/s6zam4ekrrnonsck6vak",17,ATL,375,560,3968,20,12,40,274,5,3,4002,1721,195,8.22479179920041,0,0.991504247876062,0.0706000782773205,40,82,1,5,1,9,-18.9019917636152,1,0,0,0,0,0,0,0,0,0,,0,,,,,0,222.92,222.92
2021,REG,00-0026158,J.Flacco,Joe Flacco,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dwsbpmlhoqud0puidizt",2,NYJ,27,42,338,3,0,2,13,1,1,336,175,14,6.29411907645483,0,1.00595238095238,0.140892929856642,2,3,0,0,0,1,0.167107119690627,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,23.82,23.82
2021,REG,00-0026189,D.Jackson,DeSean Jackson,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/pr5m864fqvnoozihylrh",14,LV,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,1,4,0,0,0,0,0.00335272261872888,0,20,34,454,2,1,1,647,175,12,11.0467898137285,0,0.701700154559505,0.0747252747252747,0.166323907455013,0.228514647306421,0,55.8,75.8
2021,REG,00-0026197,C.Henne,Chad Henne,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ornr9pcnzveqlntqc7jx",4,KC,11,16,82,0,0,0,0,0,0,125,24,6,4.04798453045078,0,0.656,0.0975546097179442,8,0,0,2,0,0,-1.98729497654131,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,3.28,3.28
2021,REG,00-0026300,J.Johnson,Josh Johnson,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/cm1r2n61r5knj97d41v5",4,BAL,57,85,638,5,2,3,23,0,0,620,283,39,27.3874769334036,0,1.02903225806452,0.143183954075968,9,28,0,2,0,1,-3.19134804530768,1,0,0,0,0,0,0,0,0,0,,0,,,,,0,46.32,46.32
2021,REG,00-0026498,M.Stafford,Matthew Stafford,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/icjfdfsncqlsqe49iujv",17,LA,404,601,4886,41,17,30,243,4,2,5094,2124,233,116.436423100954,2,0.959167648213585,0.12868622564132,32,43,0,1,0,8,-1.90165293193422,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,329.74,329.74
2021,REG,00-0026544,C.Daniel,Chase Daniel,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jt8fvgeyuhsbpo9m9t4x",1,LAC,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,-0.2,-0.2
