season,season_type,player_id,player_name,player_display_name,position,position_group,headshot_url,games,recent_team,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr
2008,REG,00-0001157,,Mitch Berger,P,SPEC,,1,PIT,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,1,0,0,0,0,0,-0.432945968117565,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0,0
2008,REG,00-0001477,,Marty Booker,WR,WR,,7,CHI,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,1,3,0,0,0,0,-0.127859664382413,0,14,14,211,2,0,0,116,95,9,18.7589759491966,0,1.81896551724138,0.099290780141844,0.132875143184422,0.241948770441861,0,33.4,47.4
2008,REG,00-0002099,,Isaac Bruce,WR,WR,,15,SF,0,1,0,0,0,0,0,0,0,9,0,0,-0.489633759483695,0,0,,1,-3,0,0,0,0,-0.87379137868993,0,60,60,833,7,0,0,614,219,43,77.7035728370681,0,1.35667752442997,0.203389830508475,0.315843621399177,0.526175280742136,0,125,185
2008,REG,00-0002565,,Dan Campbell,TE,TE,,1,DET,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,1,1,21,0,0,0,13,8,1,1.87768741499167,0,1.61538461538462,0.0416666666666667,0.0855263157894737,0.122368421052632,0,2.1,3.1
2008,REG,00-0002586,,Mark Campbell,TE,TE,,7,NO,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,12,12,121,2,0,0,52,69,8,9.61466513352934,0,2.32692307692308,0.069364161849711,0.0426229508196721,0.133882308348337,0,24.1,36.1
2008,REG,00-0003035,,Desmond Clark,TE,TE,,16,CHI,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,41,42,367,1,1,0,163,204,18,24.9253007489416,0,2.25153374233129,0.136807817589577,0.0933562428407789,0.27056109637291,0,42.7,83.7
2008,REG,00-0003292,,Kerry Collins,QB,QB,,16,TEN,243,416,2681,12,7,8,60,3,1,3604,1155,133,28.330679870147,1,0.743895671476138,0.0707008139609443,25,49,0,2,0,4,-8.14598004860527,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,146.14,146.14
2008,REG,00-0003739,,Daunte Culpepper,QB,QB,,5,DET,60,115,786,4,6,14,95,4,1,984,303,30,-42.6980088882005,0,0.798780487804878,0.00618753089219814,11,25,1,0,0,3,-0.447146152029745,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,41.94,41.94
2008,REG,00-0004161,,Jake Delhomme,QB,QB,,16,CAR,246,414,3284,15,12,20,130,3,2,3876,1226,151,38.6183755421797,0,0.847265221878225,0.0763524956821924,20,21,2,1,1,2,-9.21708664862621,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,175.46,175.46
2008,REG,00-0004541,,Donald Driver,WR,WR,,16,GB,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,2,4,0,0,0,0,-0.88177700410597,0,74,74,1012,5,0,0,627,385,44,75.3904552975912,0,1.6140350877193,0.215743440233236,0.249304174950298,0.498128082815063,0,131.6,205.6
2008,REG,00-0004640,,Warrick Dunn,RB,RB,,15,TB,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,186,786,2,0,0,31,-25.7315996719837,0,47,47,330,0,0,0,54,276,11,10.4192018566248,0,6.11111111111111,0.149206349206349,0.0374479889042996,0.250023116042534,0,123.6,170.6
2008,REG,00-0004915,,Bobby Engram,WR,WR,,12,SEA,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,47,47,489,0,1,0,310,179,25,38.7320741164731,0,1.57741935483871,0.231527093596059,0.261603375527426,0.530413003263287,0,48.9,95.9
2008,REG,00-0005091,,Kevin Faulk,RB,RB,,15,NE,1,1,-2,0,0,0,0,0,0,-4,2,0,-0.969695234962273,0,0,,83,507,3,0,0,24,17.2076524048583,0,58,58,486,3,0,0,28,458,23,30.2717036088781,0,17.3571428571429,0.180124223602484,0.0175,0.282436335403727,0,135.22,193.22
2008,REG,00-0005106,,Brett Favre,QB,QB,,16,NYJ,343,522,3472,22,22,30,213,5,2,4062,1644,184,20.5424615757543,1,0.854751354012802,0.0971269572363384,21,43,1,5,0,4,-2.45879641747809,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,191.18,191.18
2008,REG,00-0005231,,Brian Finneran,WR,WR,,11,ATL,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,21,21,169,1,1,1,111,58,14,13.2708576547448,0,1.52252252252252,0.106060606060606,0.0771905424200278,0.213124288784929,0,20.9,41.9
2008,REG,00-0005589,,Gus Frerotte,QB,QB,,11,MIN,178,301,2157,12,15,29,164,2,0,2463,955,101,-31.7379702417633,0,0.875761266747869,0.0203394422838475,19,7,1,2,1,3,-10.2185069602856,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,108.98,108.98
2008,REG,00-0005720,,Joey Galloway,WR,WR,,5,TB,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,13,13,138,0,0,0,92,46,6,8.1089246784104,0,1.5,0.10655737704918,0.154362416107383,0.267889756848938,0,13.8,26.8
2008,REG,00-0005755,,Jeff Garcia,QB,QB,,12,TB,244,377,2712,12,6,24,103,5,2,2795,1193,125,41.3044747026425,1,0.970304114490161,0.116895552717802,34,151,1,2,0,14,5.6997772504983,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,163.58,163.58
2008,REG,00-0006101,,Tony Gonzalez,TE,TE,,16,KC,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,96,96,1058,10,0,0,806,252,67,102.969696972751,0,1.31265508684864,0.309677419354839,0.40279860069965,0.746475149522013,0,165.8,261.8
2008,REG,00-0006305,,Ahman Green,RB,RB,,8,HOU,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,74,294,3,0,0,23,4.96162012049442,0,11,11,32,0,0,0,-30,62,0,-3.10926614551352,0,-1.06666666666667,0.0700636942675159,-0.0314795383001049,0.0830598645912004,0,50.6,61.6
2008,REG,00-0006355,,Trent Green,QB,QB,,3,LA,38,72,525,0,6,6,58,0,0,764,227,19,-32.5489603184067,0,0.68717277486911,-0.0096881312796577,3,4,0,0,0,1,1.70255734072998,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,9.4,9.4
2008,REG,00-0006423,,Brian Griese,QB,QB,,5,TB,110,184,1073,5,7,9,69,1,1,1278,444,58,-23.0858872149862,0,0.839593114241002,0.0231853997350853,5,-1,0,0,0,1,-2.20328964453074,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,46.82,46.82
2008,REG,00-0007024,,Marvin Harrison,WR,WR,,15,IND,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,60,60,636,5,1,1,450,186,41,42.5806847340718,0,1.41333333333333,0.164835164835165,0.2,0.387252747252747,0,91.6,151.6
2008,REG,00-0007091,,Matt Hasselbeck,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/t1nf9avoy2kauqwrvzza",7,SEA,109,209,1216,5,10,19,119,1,0,1935,439,65,-35.8920877952897,0,0.628423772609819,-0.00733363859788146,11,69,0,0,0,5,7.86550457467092,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,55.54,55.54
2008,REG,00-0007213,,Steve Heiden,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gbtrxatwcauhazpjejcr",9,CLE,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,23,23,249,0,0,0,123,126,14,20.9989340946195,0,2.02439024390244,0.154362416107383,0.14252607184241,0.331311874450761,0,24.9,47.9
2008,REG,00-0007308,,Craig Hentrich,P,SPEC,,2,TEN,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,2,-6,0,1,1,0,-4.02530459425179,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,-2.6,-2.6
