season,season_type,player_id,player_name,player_display_name,position,position_group,headshot_url,games,recent_team,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr
2019,REG,00-0019596,T.Brady,Tom Brady,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le",16,NE,373,613,4057,24,8,27,185,3,1,4613,1863,193,31.4955369338694,1,0.879471060047691,0.0754984394484891,26,34,3,0,0,8,0.831918980564401,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,263.68,263.68
2019,REG,00-0020531,D.Brees,Drew Brees,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/i20xlpzdmn7xubotijjd",11,NO,281,378,2979,27,4,12,89,0,0,2425,1495,159,93.7955773841471,0,1.22845360824742,0.167597983792256,9,-4,1,0,0,2,2.23256184102502,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,224.76,224.76
2019,REG,00-0021206,J.McCown,Josh McCown,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qcauc37wqjdaxdbq1evu",2,PHI,3,5,24,0,0,0,0,0,0,22,15,2,1.12892975431168,0,1.09090909090909,0.0429603230956929,2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0.76,0.76
2019,REG,00-0022127,J.Witten,Jason Witten,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/r7uafhtwuexuaty0nhsc",16,DAL,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,63,83,529,4,1,1,546,162,27,19.241698911857,1,0.968864468864469,0.144097222222222,0.101998879133196,0.287545048726571,0,76.9,139.9
2019,REG,00-0022787,M.Schaub,Matt Schaub,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/mj2kh2nddxnw04ludcx0",5,ATL,50,67,580,3,1,2,19,1,1,488,266,30,25.7770065700703,1,1.18852459016393,0.230382811706292,3,-3,0,0,0,0,-3.30602060747333,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,32.9,32.9
2019,REG,00-0022803,E.Manning,Eli Manning,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/w51tf8uedjftbr4qpaex",4,NYG,91,147,1042,6,5,5,44,2,1,1199,417,47,-6.98030983419195,0,0.869057547956631,0.0198113113221292,4,7,0,1,0,1,-0.764281581679825,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,54.38,54.38
2019,REG,00-0022824,A.Lee,Andy Lee,P,SPEC,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/bfozbs2h9jueavslvw3z",1,ARI,1,1,26,0,0,0,0,0,0,26,0,1,4.24068724038079,0,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,1.04,1.04
2019,REG,00-0022921,L.Fitzgerald,Larry Fitzgerald,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ycgjjaad5un42gy4pnga",16,ARI,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,73,107,835,4,1,1,830,396,38,5.66135660138416,0,1.00602409638554,0.203422053231939,0.209860935524652,0.452035734715165,0,105.5,178.5
2019,REG,00-0022924,B.Roethlisberger,Ben Roethlisberger,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/vziogpnyp9d0xtpiuqhr",2,PIT,35,62,351,0,1,2,7,1,0,576,193,14,-13.1652583709147,0,0.609375,-0.0361080925618817,1,7,0,0,0,0,0.0324347489513457,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,12.74,12.74
2019,REG,00-0022942,P.Rivers,Philip Rivers,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/voakyrtj34sghkwxaxxf",16,LAC,390,591,4615,23,20,34,222,5,2,5047,2154,217,67.6810972572076,1,0.914404596790172,0.119543651700718,12,29,0,3,1,2,-10.2509685641271,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,235.5,235.5
2019,REG,00-0022943,B.Watson,Benjamin Watson,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/dorymozpdnrllkqlfzpu",9,NE,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,17,24,173,0,0,0,214,83,9,10.2018681542568,0,0.808411214953271,0.0714285714285714,0.0803604956815621,0.163395204119951,0,17.3,34.3
2019,REG,00-0023459,A.Rodgers,Aaron Rodgers,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gnta8ufi2vdp967dui9e",16,GB,353,569,4002,26,4,36,284,3,3,5006,2020,189,57.7074509326791,2,0.799440671194567,0.101240686731636,46,183,1,1,1,9,-0.827063184576624,1,0,0,0,0,0,0,0,0,0,,0,,,,,0,278.38,278.38
2019,REG,00-0023500,F.Gore,Frank Gore,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/lxxkhd2suyalrbruzut7",15,BUF,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,166,599,2,0,0,30,-32.8282306637557,0,13,16,100,0,0,0,14,88,5,1.11093041463755,0,7.14285714285714,0.0551724137931035,0.00651769087523278,0.0873210043023181,0,81.9,94.9
2019,REG,00-0023534,D.Colquitt,Dustin Colquitt,P,SPEC,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/v1aymd6o0vpg73ytxzhu",1,KC,0,1,0,0,0,0,0,0,0,4,0,0,-2.30529106798349,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0,0
2019,REG,00-0023564,D.Sproles,Darren Sproles,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gvj5ng27blmwuz170aeo",6,PHI,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,17,66,0,0,0,3,-4.89760430747992,1,6,10,24,0,0,0,15,25,1,-4.46089285004525,0,1.6,0.0529100529100529,0.00882352941176471,0.0855415499533147,0,11,17
2019,REG,00-0023682,R.Fitzpatrick,Ryan Fitzpatrick,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/pkhhxwplsawnhln9rsun",15,MIA,311,502,3529,20,13,40,209,3,1,4513,1239,182,25.3165539934462,1,0.781963217372036,0.0802902967942705,54,243,4,5,1,15,3.48645611665811,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,241.46,241.46
2019,REG,00-0024221,V.Davis,Vernon Davis,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/so5ywayfeeu4zeijln5m",4,WAS,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,10,19,123,1,0,0,131,80,4,-8.92758617860305,0,0.938931297709924,0.128378378378378,0.126937984496124,0.281424156714854,0,18.3,28.3
2019,REG,00-0024243,M.Lewis,Marcedes Lewis,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ppq07tipygpftz5csipx",12,GB,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,15,19,156,1,0,0,109,82,8,5.95522672639345,0,1.43119266055046,0.0456730769230769,0.0477441962330267,0.101930552747734,0,21.6,36.6
2019,REG,00-0024389,De.Walker,Delanie Walker,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/diknegkpqy0qnri7877z",6,TEN,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,21,31,215,2,1,0,234,66,11,4.26199132646279,0,0.918803418803419,0.190184049079755,0.190243902439024,0.418446805326949,0,33.5,54.5
2019,REG,00-0024417,S.Koch,Sam Koch,P,SPEC,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/dw34lcf6qit1i1knjhpv",1,BAL,1,1,-2,0,0,0,0,0,0,-5,3,0,-2.62480155308731,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,-0.08,-0.08
2019,REG,00-0025394,A.Peterson,Adrian Peterson,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ug2ua3skqc9f6vkbowxc",15,WAS,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,211,898,5,2,1,41,-25.5827461573936,0,17,23,142,0,1,1,-43,161,7,-1.17022960465027,0,-3.30232558139535,0.0696969696969697,-0.018695652173913,0.0914584980237154,0,130,147
2019,REG,00-0025396,T.Ginn,Ted Ginn,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/o4m4txrv9l7odyebnea4",15,NO,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,3,18,0,0,0,2,0.32760189671535,0,30,56,421,2,0,0,891,48,20,4.87945375434837,0,0.472502805836139,0.106261859582543,0.259464181712289,0.341017716572416,0,55.9,85.9
