season,season_type,player_id,player_name,player_display_name,position,position_group,headshot_url,games,recent_team,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr
2016,REG,00-0019596,T.Brady,Tom Brady,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le",12,NE,291,432,3554,28,2,15,87,4,0,3353,1744,163,147.296480057103,1,1.05994631673129,0.187239391550711,28,64,0,1,0,10,-5.71714696072741,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,258.56,258.56
2016,REG,00-0020337,,Steve Smith,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/k23e0b8cto93he9rt0zc",14,BAL,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,70,101,799,5,0,0,873,281,39,36.7881645861104,2,0.915234822451317,0.17595818815331,0.212460452664882,0.412659599095383,0,113.9,183.9
2016,REG,00-0020531,D.Brees,Drew Brees,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/i20xlpzdmn7xubotijjd",16,NO,471,673,5208,37,15,27,184,5,4,4795,2410,264,113.291073560539,0,1.08613138686131,0.145823879895642,23,20,2,0,0,7,-5.72491437445936,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,332.32,332.32
2016,REG,00-0020679,,Shaun Hill,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/dn42ccbwrshm7uksyphy",3,MIN,19,35,242,0,0,1,7,0,0,348,66,12,6.04588034257783,0,0.695402298850575,0.0641709159830888,5,5,0,0,0,0,-1.78568123397408,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,10.18,10.18
2016,REG,00-0021206,J.McCown,Josh McCown,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qcauc37wqjdaxdbq1evu",5,CLE,90,165,1100,6,6,18,126,5,4,1649,450,56,-26.3705964848366,1,0.667070952092177,-0.00758644952932209,7,21,0,2,0,0,-3.73387604830386,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,52.1,52.1
2016,REG,00-0021429,C.Palmer,Carson Palmer,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/belgna3tokxga0gjjmwk",15,ARI,364,597,4233,26,14,40,281,9,3,5635,1669,218,34.8517897719005,1,0.751197870452529,0.078426532098188,14,38,0,5,1,3,-6.80246983212419,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,243.12,243.12
2016,REG,00-0021547,A.Gates,Antonio Gates,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/kndulvysinvn4tpvt0bc",13,LAC,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,53,93,548,7,1,1,769,188,34,12.8216537446354,0,0.712613784135241,0.204845814977974,0.193751574703956,0.442894824759729,0,94.8,147.8
2016,REG,00-0021678,,Tony Romo,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/rdgaxf7djip2ovlkeqjk",1,DAL,3,4,29,1,0,0,0,0,0,60,10,3,3.70600413612556,0,0.483333333333333,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,5.16,5.16
2016,REG,00-0022044,,Andre Johnson,WR,WR,,6,TEN,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,9,23,85,2,0,0,268,15,4,-2.16462636766613,0,0.317164179104478,0.115577889447236,0.149220489977728,0.277821177155264,0,20.5,29.5
2016,REG,00-0022084,,Anquan Boldin,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ajabgwxbliupgkwjbnut",16,DET,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,67,95,584,8,0,0,546,231,41,28.0754285729334,0,1.06959706959707,0.163793103448276,0.126067882706073,0.333937173066665,0,106.4,173.4
2016,REG,00-0022127,J.Witten,Jason Witten,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/r7uafhtwuexuaty0nhsc",15,DAL,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,69,95,673,3,1,1,596,273,33,22.5183971824805,0,1.12919463087248,0.206073752711497,0.160473882606354,0.421442346891693,0,83.3,152.3
2016,REG,00-0022684,D.Jones,Donnie Jones,P,SPEC,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qds7simibz6lt6ckf5yo",1,PHI,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,1,0,0,1,0,0,-3.66486525349319,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0,0
2016,REG,00-0022787,M.Schaub,Matt Schaub,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/mj2kh2nddxnw04ludcx0",3,ATL,1,3,16,0,0,0,0,0,0,18,5,1,-0.144590470124967,0,0.888888888888889,,2,-2,0,0,0,0,-2.43745192582719,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0.44,0.44
