season,season_type,player_id,player_name,player_display_name,position,position_group,headshot_url,games,recent_team,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr
2003,REG,00-0000007,,Rabih Abdullah,RB,RB,,12,CHI,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,18,37,0,0,0,4,-4.76404613861755,0,8,8,55,0,0,0,0,0,3,-0.458144592948607,0,0,0.0898876404494382,,,0,9.2,17.2
2003,REG,00-0000166,,Stephen Alexander,TE,TE,,1,LAC,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,1,,,,,0,2,2
2003,REG,00-0000251,,Mike Alstott,FB,RB,,4,TB,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,27,77,2,0,0,10,-0.638902091421187,0,10,10,83,0,0,0,0,0,3,2.92672842968022,0,0,0.114942528735632,,,0,28,38
2003,REG,00-0000339,,Richie Anderson,FB,RB,,15,DAL,0,1,0,0,0,0,0,0,0,0,0,0,-0.407888658635784,0,,,70,306,1,0,0,16,-1.13482653317624,0,69,69,493,4,1,0,0,0,21,15.4342722064232,0,0,0.263358778625954,,,0,109.9,178.9
2003,REG,00-0000374,,Joe Andruzzi,G,OL,,1,NE,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,1,1,0,0,1,0,0,0,0,-0.273931308300234,0,,0.0384615384615385,,,0,0,1
2003,REG,00-0000541,,John Avery,RB,RB,,3,MIN,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,1,0,0,0,0,0,-0.511456609005109,0,2,2,24,1,0,0,0,0,2,3.72221954877023,0,0,0.0571428571428571,,,0,8.4,10.4
2003,REG,00-0000552,,Obafemi Ayanbadejo,RB,RB,,4,MIA,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,1,-2,0,0,0,0,-1.45599803561345,0,12,12,53,0,1,0,0,0,4,2.45941899143161,0,0,0.210526315789474,,,0,5.1,17.1
2003,REG,00-0000559,,Jerry Azumah,CB,DB,,2,CHI,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,,,,2,12,12
2003,REG,00-0000722,,Tony Banks,QB,QB,,6,HOU,61,102,693,5,3,13,57,1,0,0,0,34,3.53490738496448,0,0,0.0680937906828281,6,27,0,0,0,2,3.67105207167333,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,44.42,44.42
2003,REG,00-0000745,,Tiki Barber,RB,RB,,16,NYG,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,278,1215,2,6,5,66,-36.5686147790161,1,69,69,461,1,3,1,0,0,26,18.7257045352068,0,0,0.200581395348837,,,0,175.6,244.6
2003,REG,00-0000754,,Bryan Barker,P,SPEC,,1,WAS,1,1,3,0,0,0,0,0,0,0,0,1,2.29185488808434,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0.12,0.12
2003,REG,00-0000765,,Reggie Barlow,WR,WR,,2,TB,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,3,3,27,1,1,1,0,0,1,-0.192461424099747,0,0,0.0625,,,0,6.7,9.7
2003,REG,00-0000865,,Charlie Batch,QB,QB,,2,PIT,4,8,47,0,0,1,2,1,1,0,0,2,-4.5622104840586,0,0,0.0344599074075414,1,11,0,0,0,1,0.750044139102101,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0.98,0.98
2003,REG,00-0000869,,D'Wayne Bates,WR,WR,,8,MIN,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,15,15,151,1,0,0,0,0,11,15.3590742163989,0,0,0.0862068965517242,,,0,21.1,36.1
2003,REG,00-0000942,,Fred Beasley,RB,RB,,14,SF,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,17,24,0,0,0,4,-9.27887297040434,0,19,19,184,1,0,0,0,0,6,10.5971502971165,0,0,0.0871559633027523,,,0,26.8,45.8
2003,REG,00-0001098,,Brandon Bennett,RB,RB,,14,CIN,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,56,173,0,1,1,11,-14.8080683780736,0,25,25,176,1,0,0,0,0,7,5.99773581585305,0,0,0.099601593625498,,,0,38.9,63.9
2003,REG,00-0001101,,Darren Bennett,P,SPEC,,1,LAC,0,1,0,0,0,0,0,0,0,0,0,0,-3.2695158260176,0,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0,0
2003,REG,00-0001157,,Mitch Berger,P,SPEC,,1,NO,0,1,0,0,0,0,0,0,0,0,0,0,-2.40234131412581,0,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0,0
2003,REG,00-0001215,,Jerome Bettis,RB,RB,,16,PIT,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,246,811,7,4,4,43,-31.5557093371246,1,13,13,86,0,1,0,0,0,4,5.46842167142313,0,0,0.0909090909090909,,,0,125.7,138.7
2003,REG,00-0001218,,Steve Beuerlein,QB,QB,,4,DEN,33,63,389,2,5,9,60,3,0,0,0,18,-22.9121227393894,0,0,0.0242428251491349,5,13,0,0,0,1,0.520327957463451,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,14.86,14.86
2003,REG,00-0001335,,Jeff Blake,QB,QB,,13,ARI,208,368,2252,13,15,19,132,4,3,0,0,96,-74.0249289031697,0,0,0.025817794660804,30,177,2,4,1,12,3.72639029192568,1,0,0,0,0,0,0,0,0,0,,0,,,,,0,135.78,135.78
2003,REG,00-0001361,,Drew Bledsoe,QB,QB,,16,BUF,274,471,2860,11,12,49,371,10,8,0,0,142,-64.0501087589494,0,0,0.0257028007407484,23,29,2,4,1,5,-17.3386659829121,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,131.3,131.3
2003,REG,00-0001477,,Marty Booker,WR,WR,,13,CHI,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,3,-7,0,1,0,0,-2.13844635843998,0,52,52,715,4,0,0,0,0,31,50.9276842243853,0,0,0.246445497630332,,,0,94.8,146.8
2003,REG,00-0001532,,David Boston,WR,WR,,14,LAC,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,3,18,0,0,0,2,0.338048260721907,0,70,70,880,7,2,2,0,0,42,69.2097837663605,1,0,0.274509803921569,,,0,129.8,199.8
2003,REG,00-0001545,,Todd Bouman,QB,QB,,3,NO,7,13,81,1,0,1,7,0,0,0,0,4,2.85815492447,1,0,0.0349000901069258,4,1,0,1,1,1,-3.41763105860446,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,7.34,7.34
