season,season_type,player_id,player_name,player_display_name,position,position_group,headshot_url,games,recent_team,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr
2012,REG,00-0000865,,Charlie Batch,QB,QB,,2,PIT,45,70,475,1,4,3,12,1,0,663,257,22,-1.64603170053556,0,0.716440422322775,0.0587206116370464,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,15,15
2012,REG,00-0004541,,Donald Driver,WR,WR,,9,GB,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,8,13,77,2,0,0,121,12,5,4.14056947726428,0,0.636363636363636,0.0419354838709678,0.0511844331641286,0.0987323290213416,0,19.7,27.7
2012,REG,00-0006101,,Tony Gonzalez,TE,TE,,16,ATL,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,93,124,930,8,0,0,965,252,65,61.1236635018501,0,0.963730569948187,0.202945990180033,0.195107157298827,0.440993995379228,0,141,234
2012,REG,00-0007091,,Matt Hasselbeck,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/t1nf9avoy2kauqwrvzza",8,TEN,138,221,1367,7,5,14,103,2,1,1707,557,71,-14.8563098729978,1,0.800820152314001,0.0385699938210084,13,38,0,1,0,2,-3.94424024492037,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,76.48,76.48
2012,REG,00-0010346,,Peyton Manning,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xpcd6auodk3w0vda6jal",16,DEN,400,583,4659,37,11,21,137,2,2,4841,1872,230,161.963483909458,1,0.96240446188804,0.201750165141159,23,6,0,0,0,2,-14.1174747559417,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,310.96,310.96
2012,REG,00-0011754,,Randy Moss,WR,WR,,16,SF,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,28,50,434,3,1,0,704,83,22,11.4804740979768,0,0.616477272727273,0.116009280742459,0.187483355525965,0.305252269981865,0,61.4,89.4
2012,REG,00-0015754,,Brandon Stokley,WR,WR,,14,DEN,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,45,59,544,5,0,0,589,148,30,27.585153833661,0,0.923599320882852,0.115686274509804,0.13716814159292,0.26954711087975,0,84.4,129.4
2012,REG,00-0019596,T.Brady,Tom Brady,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le",16,NE,401,637,4827,35,8,27,182,1,0,5508,2218,255,190.18863977084,0,0.87636165577342,0.168852727105561,23,32,4,1,0,11,8.53000585969344,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,344.28,344.28
2012,REG,00-0019642,,Plaxico Burress,WR,WR,,3,PIT,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,3,7,42,1,0,0,95,4,3,2.22880913462723,0,0.442105263157895,0.0714285714285714,0.0943396226415094,0.173180592991914,0,10.2,13.2
2012,REG,00-0019714,S.Lechler,Shane Lechler,P,SPEC,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/we3oe5jqnrb4ag3d4pqu",2,LV,1,1,4,0,0,0,0,0,0,1,3,0,-1.83312511094846,0,4,,2,0,0,0,0,0,-5.66086978651583,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0.16,0.16
