season,season_type,player_id,player_name,player_display_name,position,position_group,headshot_url,games,recent_team,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr
2018,REG,00-0019596,T.Brady,Tom Brady,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le",16,NE,375,570,4355,29,11,21,147,4,2,4487,2121,205,92.5519442171318,0,0.970581680410073,0.124241236315936,23,35,2,0,0,10,2.06422841569093,0,1,1,6,0,0,0,0,6,0,-0.220585573464632,0,0,0.025,,,0,280.3,281.3
2018,REG,00-0020531,D.Brees,Drew Brees,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/i20xlpzdmn7xubotijjd",15,NO,364,489,3992,32,5,17,121,3,1,3502,1827,199,159.198955051221,1,1.13992004568818,0.213593521941903,31,22,4,0,0,11,7.61469894755282,0,1,1,1,0,0,0,-2,3,0,-0.848814587574452,0,0,0.0344827586206897,-0.0125,0.0429741379310345,0,303.98,304.98
2018,REG,00-0021206,J.McCown,Josh McCown,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qcauc37wqjdaxdbq1evu",4,NYJ,60,110,539,1,4,7,35,0,0,805,308,27,-32.3868832605492,0,0.669565217391304,-0.0246251196010374,5,32,0,0,0,2,2.84682585380506,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,20.76,20.76
2018,REG,00-0021547,A.Gates,Antonio Gates,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/kndulvysinvn4tpvt0bc",15,LAC,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,28,45,333,2,1,1,356,126,19,4.63839070640941,2,0.935393258426966,0.09375,0.0973209404045927,0.208749658283215,0,47.3,75.3
2018,REG,00-0022787,M.Schaub,Matt Schaub,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/mj2kh2nddxnw04ludcx0",2,ATL,5,7,20,0,0,0,0,0,0,32,8,1,-2.43650824035285,0,0.625,0.0405595516204862,1,0,0,1,0,0,-1.40485743503086,0,1,1,-7,0,0,0,-7,0,0,-1.41032610100228,0,0,0.0222222222222222,-0.0194986072423398,0.0196843082636955,0,0.1,1.1
2018,REG,00-0022803,E.Manning,Eli Manning,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/w51tf8uedjftbr4qpaex",16,NYG,380,576,4299,21,11,47,358,7,4,4229,2162,206,27.8333442102506,3,1.01655237644833,0.0788559451149325,15,20,1,0,0,5,6.78490248315134,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,239.96,239.96
2018,REG,00-0022921,L.Fitzgerald,Larry Fitzgerald,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ycgjjaad5un42gy4pnga",16,ARI,1,1,32,1,0,0,0,0,0,28,4,1,3.08804284088546,0,1.14285714285714,,0,0,0,0,0,0,,0,69,112,734,6,0,0,1033,205,39,0.614336207116942,1,0.71055179090029,0.236786469344609,0.266511867905057,0.541738011550453,0,116.68,185.68
2018,REG,00-0022924,B.Roethlisberger,Ben Roethlisberger,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/vziogpnyp9d0xtpiuqhr",16,PIT,452,675,5129,34,16,24,166,7,2,5254,2802,248,142.846189016395,4,0.976208602969166,0.14628324183912,31,98,3,0,0,13,11.1367030574766,0,1,1,-1,0,0,0,0,-1,0,-0.575267072184943,0,0,0.0222222222222222,,,0,340.86,341.86
2018,REG,00-0022942,P.Rivers,Philip Rivers,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/voakyrtj34sghkwxaxxf",16,LAC,347,508,4308,32,12,32,204,1,1,3948,2119,213,137.726652802368,5,1.09118541033435,0.161301400580159,18,7,0,1,0,1,-14.5809071530405,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,285.02,285.02
2018,REG,00-0022943,B.Watson,Benjamin Watson,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/dorymozpdnrllkqlfzpu",13,NO,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,35,46,400,2,0,0,470,87,21,20.6360106591227,0,0.851063829787234,0.107476635514019,0.150351887396033,0.266461274448251,0,52,87
2018,REG,00-0023436,A.Smith,Alex Smith,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/dpa5d1a8jj6jdymocjkx",10,WAS,205,328,2180,10,5,22,121,3,1,2650,975,106,-6.61701240472157,0,0.822641509433962,0.0594171777117927,41,168,1,3,0,15,11.9279611891252,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,138,138
2018,REG,00-0023459,A.Rodgers,Aaron Rodgers,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gnta8ufi2vdp967dui9e",16,GB,372,597,4442,25,2,49,353,4,3,5241,2134,200,52.8180984379143,2,0.847548177828659,0.0888218227505113,43,269,2,2,0,20,21.600117174534,1,0,0,0,0,0,0,0,0,0,,0,,,,,0,312.58,312.58
