season,season_type,player_id,player_name,player_display_name,position,position_group,headshot_url,games,recent_team,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr
2011,REG,00-0000108,,David Akers,K,SPEC,,1,SF,1,1,14,1,0,0,0,0,0,9,5,1,4.22313360706903,0,1.55555555555556,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,4.56,4.56
2011,REG,00-0000865,,Charlie Batch,QB,QB,,3,PIT,15,24,208,0,1,2,10,0,0,189,92,9,-0.096866613965231,0,1.1005291005291,0.0574721312485491,3,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,6.12,6.12
2011,REG,00-0002110,,Mark Brunell,QB,QB,,1,NYJ,1,3,27,0,0,0,0,0,0,46,26,1,-0.356037270394154,0,0.586956521739131,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,1.08,1.08
2011,REG,00-0003292,,Kerry Collins,QB,QB,,3,IND,48,98,481,2,1,5,40,3,2,806,216,29,-25.0974297383107,0,0.596774193548387,-0.0328302747713782,2,-1,0,1,1,0,-5.23582660534885,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,19.14,19.14
2011,REG,00-0004161,,Jake Delhomme,QB,QB,,1,HOU,18,28,211,1,0,2,18,1,1,217,56,9,-1.41043508292922,0,0.972350230414747,0.057701437321681,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,10.44,10.44
2011,REG,00-0004541,,Donald Driver,WR,WR,,16,GB,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,37,56,445,6,0,0,528,138,20,33.9079855336527,0,0.84280303030303,0.103896103896104,0.106602059357965,0.230465597394731,0,80.5,117.5
2011,REG,00-0005091,,Kevin Faulk,RB,RB,,5,NE,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,17,57,0,0,0,1,-2.66424500897537,0,7,9,34,0,0,0,-5,32,2,-2.62117641032293,0,-6.8,0.0629370629370629,-0.00589622641509434,0.0902782359150284,0,9.1,16.1
2011,REG,00-0006101,,Tony Gonzalez,TE,TE,,16,ATL,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,80,116,875,7,0,0,1037,243,53,45.4214439981,0,0.843780135004822,0.199312714776632,0.195993195993196,0.436164309360186,0,129.5,209.5
2011,REG,00-0007091,,Matt Hasselbeck,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/t1nf9avoy2kauqwrvzza",16,TEN,319,518,3571,18,14,19,153,4,1,4129,1631,163,7.89897982831261,0,0.864858319205619,0.0604828957347929,20,52,0,0,0,4,2.41524203273002,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,190.04,190.04
2011,REG,00-0009119,,Reggie Kelly,TE,TE,,2,ATL,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,1,2,7,0,0,0,4,5,0,-1.22744829207659,0,1.75,0.0253164556962025,0.00599700149925037,0.0421725845937791,0,0.7,1.7
2011,REG,00-0009311,,Jon Kitna,QB,QB,,3,DAL,6,10,87,1,2,0,0,0,0,110,30,5,-0.0806328957551159,0,0.790909090909091,0.0727585890039437,3,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,3.28,3.28
2011,REG,00-0009323,,Jimmy Kleinsasser,TE,TE,,5,MIN,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,1,6,4,0,0,0,54,0,0,-2.8003844395862,0,0.0740740740740741,0.0350877192982456,0.0372157133011716,0.0786825782581885,0,0.4,1.4
2011,REG,00-0010500,,Derrick Mason,WR,WR,,11,HOU,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,19,35,170,0,0,0,282,38,11,-3.57560002300858,0,0.602836879432624,0.102040816326531,0.0973420780117363,0.221200679098011,0,17,36
2011,REG,00-0011022,,Donovan McNabb,QB,QB,,6,MIN,94,156,1026,4,2,16,113,1,0,1231,424,52,-17.4551714814916,0,0.833468724614135,0.0190967975805895,14,59,1,1,0,5,2.1879356810241,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,64.94,64.94
2011,REG,00-0014655,,Mike Sellers,TE,TE,,2,WAS,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,1,2,15,0,0,0,15,8,1,0.217809271998703,0,1,0.032258064516129,0.0301810865191147,0.0695138573375738,0,1.5,2.5
2011,REG,00-0015754,,Brandon Stokley,WR,WR,,2,NYG,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,1,3,7,0,0,0,26,4,0,-2.99151577614248,0,0.269230769230769,0.0566037735849057,0.0512820512820513,0.120803096274794,0,0.7,1.7
2011,REG,00-0016689,,Matt Turk,P,SPEC,,1,JAX,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,1,0,0,1,0,0,-2.84290397027507,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0,0
2011,REG,00-0017162,,Hines Ward,WR,WR,,14,PIT,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,46,63,381,2,1,1,392,163,20,-1.74397145354727,0,0.971938775510204,0.142212189616253,0.10082304526749,0.283894416111622,0,48.1,94.1
2011,REG,00-0017915,,Ricky Williams,RB,RB,,16,BAL,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,108,444,2,2,2,20,-11.8112103916635,0,13,20,83,0,0,0,19,67,5,0.340171753640594,0,4.36842105263158,0.05,0.00526753534793457,0.0786872747435542,0,60.7,73.7
2011,REG,00-0019041,,Billy Volek,QB,QB,,2,LAC,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,5,-5,0,0,0,0,-3.76836597139481,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,-0.5,-0.5
2011,REG,00-0019457,,Anthony Becht,TE,TE,,3,KC,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,3,4,26,0,0,0,22,10,2,1.58593070926145,0,1.18181818181818,0.0421052631578947,0.0304709141274238,0.0844875346260388,0,2.6,5.6
2011,REG,00-0019484,,Sammy Morris,RB,RB,,3,DAL,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,28,98,0,0,0,7,-4.58467856532661,0,5,7,13,0,0,0,7,15,0,-4.19990294543095,0,1.85714285714286,0.0654205607476636,0.0169082125603865,0.109966589913766,0,11.1,16.1
2011,REG,00-0019596,T.Brady,Tom Brady,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le",16,NE,401,611,5235,39,12,32,173,4,2,4989,2566,261,198.033485546049,0,1.04930847865304,0.183906210972241,43,109,3,2,0,20,7.56491082781577,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,366.3,366.3
2011,REG,00-0019641,,Thomas Jones,RB,RB,,16,KC,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,153,478,0,0,0,19,-31.4531190085995,0,5,7,43,0,0,0,-10,56,1,0.19788103341125,0,-4.3,0.049645390070922,-0.0114285714285714,0.066468085106383,0,52.1,57.1
2011,REG,00-0019642,,Plaxico Burress,WR,WR,,16,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,45,96,612,8,0,0,1246,144,38,14.7913054833128,0,0.491171749598716,0.177449168207024,0.279184405108671,0.461602835886606,0,109.2,154.2
