season,season_type,player_id,player_name,player_display_name,position,position_group,headshot_url,games,recent_team,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr
2009,REG,00-0000741,,Ronde Barber,FS,DB,,1,TB,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,,,,1,6,6
2009,REG,00-0000865,,Charlie Batch,QB,QB,,1,PIT,1,2,17,0,0,0,0,0,0,18,2,1,1.44984865514562,0,0.944444444444444,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0.68,0.68
2009,REG,00-0001477,,Marty Booker,WR,WR,,12,ATL,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,1,7,0,0,0,0,0.297666821512394,0,16,32,181,1,0,0,291,55,9,-13.2015431760063,0,0.621993127147766,0.0788177339901478,0.0869955156950673,0.179123461971769,0,24.8,40.8
2009,REG,00-0002099,,Isaac Bruce,WR,WR,,9,SF,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,1,-8,0,0,0,0,-1.56239057797939,0,21,49,264,0,0,0,520,64,13,-3.46260723816378,0,0.507692307692308,0.173144876325088,0.244475787494123,0.430850365733519,0,25.6,46.6
2009,REG,00-0002110,,Mark Brunell,QB,QB,,4,NO,15,30,102,0,1,1,9,0,0,61,97,5,-13.6851961328205,0,1.67213114754098,-0.0235062321974659,3,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,1.78,1.78
2009,REG,00-0003035,,Desmond Clark,TE,TE,,10,CHI,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,19,34,145,2,0,0,186,46,7,-6.97010689650779,0,0.779569892473118,0.0904255319148936,0.0551111111111111,0.174216075650118,0,26.5,45.5
2009,REG,00-0003292,,Kerry Collins,QB,QB,,7,TEN,119,216,1225,6,8,5,37,0,0,1742,558,63,-16.9155598587818,0,0.703214695752009,0.000430861694780113,12,15,1,3,2,2,-5.8477494676481,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,60.5,60.5
2009,REG,00-0003315,,Todd Collins,QB,QB,,3,WAS,12,23,144,0,0,2,11,1,0,168,63,4,-5.34831566812869,0,0.857142857142857,0.00931787790720329,1,0,0,1,0,0,-1.17004767397884,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,5.76,5.76
2009,REG,00-0003739,,Daunte Culpepper,QB,QB,,8,DET,89,157,945,3,6,14,107,2,0,1307,381,45,-23.3728437682779,0,0.723029839326702,0.00118079895061638,18,91,0,2,0,5,-4.83939511974639,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,46.9,46.9
2009,REG,00-0004091,P.Dawson,Phil Dawson,K,SPEC,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/dypn7kf7fsaz30ey0ayc",1,CLE,1,1,10,0,0,0,0,0,0,2,8,1,0.255512065689216,0,5,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0.4,0.4
